SampleID,Plate,Description,Run,Row,Column,Well,isotope,treatment,ecosystem,sampleID,Density.g.ml,avg_16S_copies,dna_ng_ul,uL_added,dry_soil_wt_g,timepoint,avg_16S_g_soil
DIM.30.7,2,30.7,1,D,2,D2,16O,C,MC,W1_MC_6,1.721818,11325.00013,44.9,25,0.22928851286128,7,578.32793718519
DIM.30.8,2,30.8,1,E,2,E2,16O,C,MC,W1_MC_6,1.7175188,10661.09193,44.9,25,0.22928851286128,7,544.424479756591
DIM.30.9,2,30.9,1,F,2,F2,16O,C,MC,W1_MC_6,1.7121448,13785.17414,44.9,25,0.22928851286128,7,703.960373740395
DIM.4.10,1,4.1,1,D,1,D1,16O,C,GL,W1_GL_4,1.7158754,7540.952227,27.9,40,0.251492156539026,7,679.745640833692
DIM.4.11,1,4.11,1,E,1,E1,16O,C,GL,W1_GL_4,1.7115818,20167.47747,27.9,40,0.251492156539026,7,1817.90767056721
DIM.4.12,1,4.12,1,F,1,F1,16O,C,GL,W1_GL_4,1.7072882,97522.9684,27.9,40,0.251492156539026,7,8790.77477957107
DIM.4.13,1,4.13,1,G,1,G1,16O,C,GL,W1_GL_4,1.7019212,416841.7347,27.9,40,0.251492156539026,7,37574.3465215669
DIM.4.15,1,4.15,1,A,2,A2,16O,C,GL,W1_GL_4,1.6922606,733731.802,27.9,40,0.251492156539026,7,66138.9939807332
DIM.4.16,1,4.16,1,B,2,B2,16O,C,GL,W1_GL_4,1.6868936,268191.8713,27.9,40,0.251492156539026,7,24174.9649030373
DIM.4.17,1,4.17,1,C,2,C2,16O,C,GL,W1_GL_4,1.681,126561.1049,27.9,40,0.251492156539026,7,11408.2886040369
DIM.4.18,1,4.18,1,D,2,D2,16O,C,GL,W1_GL_4,1.6759,54635.57341,27.9,40,0.251492156539026,7,4924.88106832515
DIM.4.7,1,4.7,1,A,1,A1,16O,C,GL,W1_GL_4,1.730903,7685.06359,27.9,40,0.251492156539026,7,692.73591949414
DIM.4.8,1,4.8,1,B,1,B1,16O,C,GL,W1_GL_4,1.7266094,4549.572985,27.9,40,0.251492156539026,7,410.101047071449
DIM.4.9,1,4.9,1,C,1,C1,16O,C,GL,W1_GL_4,1.7212424,6820.623794,27.9,40,0.251492156539026,7,614.814834012349
DIM.43.10,1,43.1,1,B,4,B4,18O,C,MC,W1_MC_22,1.7266094,8556.488471,34.4,30,0.22928851286128,7,570.321080473918
DIM.43.11,1,43.11,1,C,4,C4,18O,C,MC,W1_MC_22,1.7223158,20190.79153,34.4,30,0.22928851286128,7,1345.78969866448
DIM.43.12,1,43.12,1,D,4,D4,18O,C,MC,W1_MC_22,1.7180222,61571.88138,34.4,30,0.22928851286128,7,4103.9898592126
DIM.43.13,1,43.13,1,E,4,E4,18O,C,MC,W1_MC_22,1.7137286,170326.1385,34.4,30,0.22928851286128,7,11352.8566854853
DIM.43.14,1,43.14,1,F,4,F4,18O,C,MC,W1_MC_22,1.709435,273700.1426,34.4,30,0.22928851286128,7,18243.1100775216
DIM.43.15,1,43.15,1,G,4,G4,18O,C,MC,W1_MC_22,1.7062148,509025.7194,34.4,30,0.22928851286128,7,33928.4157585376
DIM.43.16,1,43.16,1,H,4,H4,18O,C,MC,W1_MC_22,1.7019212,951844.444,34.4,30,0.22928851286128,7,63443.8944883814
DIM.43.17,1,43.17,1,A,5,A5,18O,C,MC,W1_MC_22,1.6976276,1048786.269,34.4,30,0.22928851286128,7,69905.4197466106
DIM.43.18,1,43.18,1,B,5,B5,18O,C,MC,W1_MC_22,1.6944074,548513.7406,34.4,30,0.22928851286128,7,36560.4360076023
DIM.43.20,1,43.2,1,D,5,D5,18O,C,MC,W1_MC_22,1.6857,47541.56367,34.4,30,0.22928851286128,7,3168.81814912621
DIM.43.9,1,43.9,1,A,4,A4,18O,C,MC,W1_MC_22,1.7319764,3802.994684,34.4,30,0.22928851286128,7,253.483428928405
DIM.44.10,2,44.1,1,H,4,H4,18O,C,MC,W1_MC_23,1.7067708,231096.7722,35.8,30,0.230052807904151,7,14850.4081961441
DIM.44.11,2,44.11,1,A,5,A5,18O,C,MC,W1_MC_23,1.7024716,501416.6624,35.8,30,0.230052807904151,7,32221.3159539239
DIM.44.12,2,44.12,1,B,5,B5,18O,C,MC,W1_MC_23,1.6970976,1690192.602,35.8,30,0.230052807904151,7,108612.724577911
DIM.44.13,2,44.13,1,C,5,C5,18O,C,MC,W1_MC_23,1.6927984,1653329.273,35.8,30,0.230052807904151,7,106243.866380944
DIM.44.14,2,44.14,1,D,5,D5,18O,C,MC,W1_MC_23,1.6884992,743800.5868,35.8,30,0.230052807904151,7,47797.0428810322
DIM.44.15,2,44.15,1,E,5,E5,18O,C,MC,W1_MC_23,1.6852748,137653.0543,35.8,30,0.230052807904151,7,8845.66247438479
DIM.44.16,2,44.16,1,F,5,F5,18O,C,MC,W1_MC_23,1.6809756,49804.109,35.8,30,0.230052807904151,7,3200.43997782525
DIM.44.17,2,44.17,1,G,5,G5,18O,C,MC,W1_MC_23,1.6766764,35441.37407,35.8,30,0.230052807904151,7,2277.48257563823
DIM.44.18,2,44.18,1,H,5,H5,18O,C,MC,W1_MC_23,1.6723772,23374.98082,35.8,30,0.230052807904151,7,1502.08937775047
DIM.44.19,2,44.19,1,A,6,A6,18O,C,MC,W1_MC_23,1.6697,46468.3499,35.8,30,0.230052807904151,7,2986.08222714178
DIM.44.20,2,44.2,1,B,6,B6,18O,C,MC,W1_MC_23,1.6657,18247.15303,35.8,30,0.230052807904151,7,1172.57228793526
DIM.44.3,2,44.3,1,A,4,A4,18O,C,MC,W1_MC_23,1.732566,9993.530805,35.8,30,0.230052807904151,7,642.189894571754
DIM.44.4,2,44.4,1,B,4,B4,18O,C,MC,W1_MC_23,1.7304164,15005.8399,35.8,30,0.230052807904151,7,964.283688255627
DIM.44.5,2,44.5,1,C,4,C4,18O,C,MC,W1_MC_23,1.727192,11290.94448,35.8,30,0.230052807904151,7,725.562425003875
DIM.44.6,2,44.6,1,D,4,D4,18O,C,MC,W1_MC_23,1.7239676,14143.3415,35.8,30,0.230052807904151,7,908.859057324667
DIM.44.7,2,44.7,1,E,4,E4,18O,C,MC,W1_MC_23,1.721818,20739.54578,35.8,30,0.230052807904151,7,1332.73484395131
DIM.44.8,2,44.8,1,F,4,F4,18O,C,MC,W1_MC_23,1.7153692,46622.2256,35.8,30,0.230052807904151,7,2995.97036592759
DIM.44.9,2,44.9,1,G,4,G4,18O,C,MC,W1_MC_23,1.71107,144289.3096,35.8,30,0.230052807904151,7,9272.11196201993
DIM.5.10,1,5.1,1,G,10,G10,16O,C,GL,W1_GL_5,1.71107,13759.64724,21.9,50,0.252333267430461,7,1585.39577477613
DIM.5.11,1,5.11,1,H,10,H10,16O,C,GL,W1_GL_5,1.705696,176215.6627,21.9,50,0.252333267430461,7,20303.6867312854
